"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jan 04 16:09:23 IST 2026","Sun Jan 04 16:09:29 IST 2026","5906","","test_pytest_html_report","","","","test_ging_search[chromium]",""
"passed","Sun Jan 04 16:09:20 IST 2026","Sun Jan 04 16:09:21 IST 2026","1410","","test_pytest_html_report","","","","test_title[chromium]",""
"passed","Sun Jan 04 16:09:22 IST 2026","Sun Jan 04 16:09:23 IST 2026","1279","","test_pytest_html_report","","","","test_google_search[chromium]",""
"passed","Sun Jan 04 16:09:18 IST 2026","Sun Jan 04 16:09:19 IST 2026","1440","","test_pytest_html_report","","","","test_url[chromium]",""
